audio_timestamp,dx,dy,frequencies,index,mic_positions,motors_pwm,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,vbat,yaw_deg,yaw_rate_deg,z
,0.0,-2.0,,0,,,,,,,90.0,544341,geometry/pose_raw,,0.3486722409725189,-0.048694148659706116,1.0
,0.0,-1.0,,1,,,,,,,90.0,544353,geometry/pose_raw,,0.34737128019332886,0.054494209587574005,2.0
,0.0,0.0,,2,,,,,,,90.0,544361,geometry/pose_raw,,0.3464992940425873,-0.1363806575536728,2.0
,0.0,0.0,,3,,,,,,,90.0,544370,geometry/pose_raw,,0.3450850546360016,0.12064247578382492,2.0
,3.0,4.0,,4,,,,,,,90.0,544381,geometry/pose_raw,,0.359638512134552,0.1515851765871048,2.0
,1.0,-8.0,,5,,,,,,,90.0,544391,geometry/pose_raw,,0.3530597388744354,-0.020805034786462784,2.0
,27.0,-22.0,,6,,,,,,,90.0,544401,geometry/pose_raw,,0.30482733249664307,-0.16288915276527405,2.0
,-3.0,-2.0,,7,,,,,,,90.0,544411,geometry/pose_raw,,0.30961573123931885,0.08884196728467941,2.0
555589606,,,"[187 203 218 250 265 281 296 328 343 359 375 390 421 437 453 468 500 515
 531 546 562 593 609 625 640 656 687 703 718 734 765 781]",8,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],,32,4,"[-7.47157075e-03  3.20606539e-03 -5.05065080e-03  4.41388169e-04
  5.92258386e-03  3.68099590e-03  7.19983480e-04  2.55285436e-03
 -3.73691553e-03 -6.81051752e-04 -8.92361510e-04 -7.38831295e-05
 -2.87026237e-03  2.16939091e-03  1.81990865e-04  4.85737517e-04
  2.14217138e-03 -1.91774033e-03 -9.30127106e-04  1.77350792e-03
  3.57823155e-05  2.25004787e-03 -9.76945041e-04 -1.45620236e-03
 -9.07314592e-04 -1.03534292e-03 -1.29595224e-04 -2.29421444e-03
  5.04208438e-04 -8.03513220e-04  2.69454950e-03  3.46957415e-04
 -1.31605659e-02  6.13838620e-03 -3.40688741e-03 -3.93447583e-04
  8.89671128e-03  4.28024447e-04  1.30922510e-03  4.19499725e-03
 -4.99663269e-03 -1.62191130e-03 -2.38486798e-03 -1.98337925e-03
 -4.37929470e-04  3.52617726e-03 -4.44712990e-04 -1.16736849e-03
  3.04082897e-03 -2.38468661e-03 -1.97581161e-04  1.65910879e-03
 -6.53812604e-04  1.11885904e-03  2.59425258e-04 -1.17593294e-03
 -6.55200158e-04 -2.93180067e-03 -1.45252049e-03 -1.57785963e-03
  2.41313339e-03  8.84427223e-04  4.55248961e-03  8.85278161e-04
 -8.03737994e-03  5.59304748e-03 -2.34408653e-03 -3.70386103e-03
  3.23219085e-03  8.65660491e-04  4.77044471e-03  2.83114053e-03
 -4.45465371e-03 -1.23099820e-03  1.28637461e-04 -5.84455032e-04
 -1.10297441e-03  2.68698996e-03  7.03737489e-04  7.55863264e-04
 -1.36061572e-03  1.20647615e-04 -2.08065868e-03  2.30172300e-03
  2.08328871e-04  4.39016556e-04 -1.22149795e-04 -5.39720641e-04
 -4.75627545e-04 -1.05591933e-03 -8.00183159e-04 -1.18108722e-03
  1.17131276e-03 -1.03083369e-03  1.76396850e-03  7.11856119e-04
 -1.17567163e-02  8.00006371e-03 -2.51339609e-03 -1.71625544e-03
  4.95198416e-03  9.30251554e-05  5.50193060e-03  1.23857649e-03
 -3.22269439e-03 -1.60972588e-03 -4.33341647e-03 -7.23738631e-04
  1.44282100e-03  1.93550263e-03  7.09055224e-04  3.99601326e-04
 -1.16017088e-03 -5.52082085e-04 -1.53357850e-03  1.42466498e-03
  4.06516367e-04  2.33154674e-03  2.20614282e-04  4.06898558e-04
 -1.25839165e-03  3.47098103e-04 -2.06267368e-03 -1.02077040e-03
  1.19906885e-03 -6.21688960e-04  1.21183204e-03  7.16884853e-04]","[-1.45656645e-01 -1.31158441e-01 -6.20886162e-02  3.42584848e-02
  5.09908758e-02  4.11969870e-02  1.65570751e-02 -1.75285861e-02
 -2.56270412e-02 -2.09208652e-02 -7.71535467e-03  3.78820766e-03
  1.03183519e-02  7.36806821e-03  5.10184513e-03  2.23219366e-04
 -7.36755319e-03 -7.21399859e-03 -3.73271154e-03  3.93552124e-04
  2.31685210e-03  4.67381254e-03  3.38096428e-03 -1.58458343e-03
 -2.07927078e-03 -2.72808922e-03 -2.03208020e-03  1.42186601e-03
 -6.95652678e-04  3.33585241e-03  1.56836701e-03 -2.03887001e-03
 -1.35718226e-01 -1.27121180e-01 -6.34775013e-02  3.43033634e-02
  4.98725921e-02  4.11078855e-02  1.44379586e-02 -1.73999276e-02
 -2.40870044e-02 -1.77395381e-02 -8.85428488e-03  3.88641888e-03
  9.55297984e-03  4.95967874e-03  4.70161298e-03 -8.72512581e-04
 -5.61863370e-03 -9.71120037e-03 -5.09623531e-03  1.10358093e-03
  2.69502518e-03  6.17208937e-03  3.32359644e-03 -3.93350888e-03
 -1.02410209e-03 -6.53506548e-04 -2.62086163e-03  1.54565182e-03
 -7.35131907e-04  2.72688479e-03 -1.04867318e-03 -7.73353153e-04
 -1.28058791e-01 -1.15823194e-01 -5.61561212e-02  2.69913264e-02
  4.77948077e-02  3.35128941e-02  1.63752921e-02 -1.59636829e-02
 -2.41203848e-02 -1.79003179e-02 -5.68888104e-03  2.74190400e-03
  8.93245824e-03  6.82927016e-03  5.27054910e-03  2.85363058e-04
 -6.23239344e-03 -4.95189149e-03 -2.36291066e-03 -2.16968800e-03
  6.56715361e-04  3.00898636e-03  1.81157759e-03 -6.89537614e-04
 -1.97097985e-03 -3.29115754e-03 -2.18500081e-03  2.92807561e-03
  1.13982102e-03  2.25958182e-03  1.16124761e-03 -1.69795076e-03
 -1.37172878e-01 -1.27530515e-01 -6.76733330e-02  3.41657177e-02
  5.33161536e-02  3.62681001e-02  1.76021196e-02 -1.70445740e-02
 -2.53699869e-02 -1.75340977e-02 -6.26599742e-03  2.74794549e-03
  8.46237503e-03  8.94903950e-03  6.02406729e-03 -6.80619269e-04
 -7.13294325e-03 -6.69377483e-03 -3.94694926e-03  4.34824615e-05
  2.70984042e-03  5.34841605e-03  1.83840212e-03 -9.85434745e-04
 -2.37620436e-03 -2.54515558e-03 -2.99465982e-03 -3.82770668e-04
  1.12568052e-03  1.04227546e-03  2.47280789e-03 -9.36877681e-04]",,544413,audio/signals_f,,,,
,,,,9,,[0. 0. 0. 0.],,,,,,544418,crazyflie/motors,,,,
