Timestamp,controller.yaw,gyro.z,mag.z,stabilizer.yaw,stateEstimate.yaw
17423,0.06870626658201218,0.10850633680820465,0.0,0.06870626658201218,0.06870626658201218
17433,0.0824035182595253,-0.053053613752126694,0.0,0.0824035182595253,0.0824035182595253
17443,0.08181639760732651,0.11394096165895462,0.0,0.08181639760732651,0.08181639760732651
17453,0.08102608472108841,-0.17738720774650574,0.0,0.08102608472108841,0.08102608472108841
17463,0.05827374383807182,-0.04024410992860794,0.0,0.05827374383807182,0.05827374383807182
17473,0.07159846276044846,0.22623035311698914,0.0,0.07159846276044846,0.07159846276044846
17483,0.07294469326734543,-0.012604502029716969,0.0,0.07294469326734543,0.07294469326734543
17493,0.07196963578462601,-0.053037434816360474,0.0,0.07196963578462601,0.07196963578462601
17503,0.03296647593379021,0.1768185794353485,0.0,0.03296647593379021,0.03296647593379021
17513,0.04822837561368942,0.07542336732149124,0.0,0.04822837561368942,0.04822837561368942
17523,0.0400986410677433,0.11940044164657593,0.0,0.0400986410677433,0.0400986410677433
17533,0.04886506497859955,-0.3899075388908386,0.0,0.04886506497859955,0.04886506497859955
17543,0.047663331031799316,0.1634426712989807,0.0,0.047663331031799316,0.047663331031799316
17553,0.03178301453590393,0.05932559445500374,0.0,0.03178301453590393,0.03178301453590393
17563,0.0469997376203537,0.19169074296951294,0.0,0.0469997376203537,0.0469997376203537
17573,0.04025257006287575,0.06441471725702286,0.0,0.04025257006287575,0.04025257006287575
17583,0.05661669373512268,-0.06549692898988724,0.0,0.05661669373512268,0.05661669373512268
17593,0.039741113781929016,-0.10292273759841919,0.0,0.039741113781929016,0.039741113781929016
17603,0.039262622594833374,-0.07082856446504593,0.0,0.039262622594833374,0.039262622594833374
17613,0.05477392300963402,0.13203756511211395,0.0,0.05477392300963402,0.05477392300963402
17623,0.05555367097258568,0.04080093652009964,0.0,0.05555367097258568,0.05555367097258568
17633,0.055941738188266754,-0.1322365701198578,0.0,0.055941738188266754,0.055941738188266754
17643,0.04387142136693001,-0.08653111010789871,0.0,0.04387142136693001,0.04387142136693001
17653,0.054087601602077484,-0.1448650360107422,0.0,0.054087601602077484,0.054087601602077484
17663,0.045702096074819565,-0.03925240784883499,0.0,0.045702096074819565,0.045702096074819565
17673,0.04410523176193237,-0.17759646475315094,0.0,0.04410523176193237,0.04410523176193237
17683,0.044216088950634,0.22255483269691467,0.0,0.044216088950634,0.044216088950634
17693,0.02982475608587265,0.12651844322681427,0.0,0.02982475608587265,0.02982475608587265
17703,0.03100624494254589,-0.06818888336420059,0.0,0.03100624494254589,0.03100624494254589
17713,0.03893428295850754,0.14702041447162628,0.0,0.03893428295850754,0.03893428295850754
17723,0.05480228736996651,0.008620579726994038,0.0,0.05480228736996651,0.05480228736996651
17733,0.03772561997175217,0.09598210453987122,0.0,0.03772561997175217,0.03772561997175217
17743,0.039009399712085724,-0.15971986949443817,0.0,0.039009399712085724,0.039009399712085724
17753,0.07563696801662445,0.2566593289375305,0.0,0.07563696801662445,0.07563696801662445
17763,0.07638098299503326,-0.0672006905078888,0.0,0.07638098299503326,0.07638098299503326
17773,0.04641030356287956,0.04870127514004707,0.0,0.04641030356287956,0.04641030356287956
17783,0.06315961480140686,0.062308937311172485,0.0,0.06315961480140686,0.06315961480140686
17793,0.05592764541506767,-0.1194513738155365,0.0,0.05592764541506767,0.05592764541506767
17803,0.046188827604055405,0.1135086640715599,0.0,0.046188827604055405,0.046188827604055405
17813,0.04651965573430061,-0.11878342926502228,0.0,0.04651965573430061,0.04651965573430061
17823,0.08180151879787445,0.017877675592899323,0.0,0.08180151879787445,0.08180151879787445
17833,0.0741463154554367,0.08877436071634293,0.0,0.0741463154554367,0.0741463154554367
17843,0.07442296296358109,0.1252998411655426,0.0,0.07442296296358109,0.07442296296358109
17853,0.0724019855260849,0.12088018655776978,0.0,0.0724019855260849,0.0724019855260849
17863,0.06494063138961792,-0.06067219376564026,0.0,0.06494063138961792,0.06494063138961792
17873,0.06486229598522186,0.07533054053783417,0.0,0.06486229598522186,0.06486229598522186
17883,0.0645635649561882,-0.003758867271244526,0.0,0.0645635649561882,0.0645635649561882
17893,0.08119435608386993,0.1894092708826065,0.0,0.08119435608386993,0.08119435608386993
17903,0.08171720802783966,-0.20068445801734924,0.0,0.08171720802783966,0.08171720802783966
17913,0.04826519638299942,-0.20095954835414886,0.0,0.04826519638299942,0.04826519638299942
17923,0.04852158948779106,-0.15949219465255737,0.0,0.04852158948779106,0.04852158948779106
17933,0.08004181832075119,-0.07351899892091751,0.0,0.08004181832075119,0.08004181832075119
17943,0.07881707698106766,-0.14328935742378235,0.0,0.07881707698106766,0.07881707698106766
17953,0.060743335634469986,-0.007526030298322439,0.0,0.060743335634469986,0.060743335634469986
17963,0.06938822567462921,-0.228009894490242,0.0,0.06938822567462921,0.06938822567462921
17973,0.06782053411006927,-0.03708436340093613,0.0,0.06782053411006927,0.06782053411006927
17983,0.05121089518070221,0.052628468722105026,0.0,0.05121089518070221,0.05121089518070221
17993,0.04869164526462555,0.04714774712920189,0.0,0.04869164526462555,0.04869164526462555
18003,0.04897909611463547,-0.01948894001543522,0.0,0.04897909611463547,0.04897909611463547
18013,0.047818370163440704,0.1836167424917221,0.0,0.047818370163440704,0.047818370163440704
18023,0.04829130321741104,-0.006273946259170771,0.0,0.04829130321741104,0.04829130321741104
18033,0.09934373199939728,-0.0390811413526535,0.0,0.09934373199939728,0.09934373199939728
18043,0.09004872292280197,0.09146515280008316,0.0,0.09004872292280197,0.09004872292280197
