dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction-deg,timestamp,topic,yaw_deg,z
0.0,0.0,,0,,,,,,0.0,320756,geometry/pose_raw,75.36212921142578,0.0
0.0,0.0,,1,,,,,,0.0,320763,geometry/pose_raw,75.36128997802734,0.0
0.0,0.0,,2,,,,,,0.0,320772,geometry/pose_raw,75.36148834228516,0.0
0.0,0.0,,3,,,,,,0.0,320782,geometry/pose_raw,75.36155700683594,0.0
0.0,0.0,,4,,,,,,0.0,320791,geometry/pose_raw,75.36154174804688,0.0
0.0,0.0,,5,,,,,,0.0,320804,geometry/pose_raw,75.36187744140625,0.0
0.0,0.0,,6,,,,,,0.0,320812,geometry/pose_raw,75.36148834228516,0.0
0.0,0.0,,7,,,,,,0.0,320821,geometry/pose_raw,75.36125946044922,0.0
,,"[  375   812  1218  1656  2093  2500  2937  3343  3781  4218  4625  5062
  5500  5906  6343  6750  7187  7625  8031  8468  8906  9312  9750 10156
 10593 11031 11437 11875 12312 12718 13156 13562]",8,[ 0.054  0.054  0.054 -0.054 -0.054  0.054 -0.054 -0.054],32,4,"[ 1.07827387e-03  3.96837341e-03  3.03859124e-03 -3.68015317e-04
  1.52377831e-03 -7.35519861e-04  2.70526129e-04  6.87827589e-04
  1.64612895e-04 -3.45316366e-04 -1.28796528e-04  1.30606117e-04
  1.39612763e-04  5.83719520e-04  3.71215632e-04  8.39014363e-04
 -3.66819353e-04 -1.64927085e-04 -9.53192473e-04 -3.65371874e-04
  8.11500649e-05 -2.29917481e-04  1.00349476e-04  6.35398203e-04
 -1.34534072e-04 -1.24324783e-04  6.21148618e-04 -1.03344407e-03
 -4.09704749e-04 -1.25257866e-05  2.59019027e-04  2.14384811e-04
  2.85552326e-03  3.51830880e-04 -9.05128138e-04  4.92594088e-04
  9.33239178e-04 -5.34757040e-04  4.19825374e-04 -4.25076025e-04
 -7.32048647e-07 -3.26710229e-04  3.01713997e-04 -2.78945430e-04
 -8.29729368e-04  1.69336727e-05  2.27541968e-05 -2.25833792e-04
  4.26169485e-04  3.11710901e-04 -1.81155439e-04 -5.30661375e-04
  4.09142522e-04 -6.87690743e-04 -2.35349900e-04 -3.26955196e-04
 -2.13061518e-04  5.17591761e-05  3.90982925e-04 -6.61287195e-05
  4.71407722e-04  2.21008551e-04 -3.70804337e-05 -5.12062106e-04
  5.65141346e-03  1.61412396e-02  1.16571933e-02  8.34604958e-04
  4.19792719e-03 -2.37890868e-03  2.69467640e-03  2.49849143e-03
 -9.21631174e-04 -5.79448417e-04  3.01803020e-03  8.45387636e-04
  2.66648270e-03  8.78836785e-04  4.03570128e-04  3.44391505e-04
  3.24453576e-05  5.98732790e-04 -4.51336586e-04  1.27057009e-03
  7.35172507e-05 -2.81265529e-04  1.42601071e-04 -1.29440348e-04
  8.24020128e-04  3.99086566e-04  2.06695157e-04  4.22755751e-04
 -4.02284029e-04  3.74543568e-04  7.72590633e-04 -1.26515326e-04
  4.60575614e-03  6.33456977e-03  3.72330053e-03  3.73862829e-04
  1.66816206e-03 -7.05881743e-04  9.08307265e-04  2.67640484e-04
  7.43456883e-04 -3.51797280e-05  1.16870541e-03  9.47089808e-04
  1.34984194e-03  3.50304530e-04  6.64041901e-04  9.41909384e-05
  7.79952330e-04  6.37236517e-04  1.58960160e-04  4.43404366e-04
  1.89219718e-04  8.50467011e-04  3.44399188e-04  2.63451948e-05
 -2.55448322e-05  3.31366718e-05 -2.03055592e-04 -2.10964587e-04
  6.63161976e-04 -2.97467108e-04  4.81786701e-05  2.88197014e-04]","[-5.2633369e-04  6.0362468e-04 -5.2682376e-03  1.4816601e-03
 -1.6124215e-04  2.9220519e-04  4.6667439e-04 -1.4436414e-03
  6.4381969e-04 -1.0164349e-03  1.0777762e-03 -2.8405196e-04
  7.0373825e-04  1.1228342e-04  2.1907227e-04  7.3141925e-04
 -9.6585689e-04  6.5670196e-05 -7.2555803e-04  1.3346865e-03
  1.2186214e-04  3.5182195e-04  1.5387057e-05 -6.0288719e-04
  1.1515459e-04  1.0285387e-04  2.2287204e-04 -2.3689495e-04
  4.0085288e-05 -1.3844378e-04  7.3674244e-05  7.9373433e-04
 -6.5041694e-04 -1.0083797e-03 -5.9037423e-04  2.2135462e-04
  2.0030884e-04  4.2160536e-04  4.5850844e-04  1.3057367e-04
  5.1909400e-04 -3.3590276e-04 -2.6831331e-04  6.7470281e-04
  3.7283992e-04 -1.1442702e-04 -2.2053324e-04 -6.2233582e-04
 -3.0617703e-05  3.4035256e-04  8.2404629e-05 -1.6651757e-06
 -4.3020630e-04 -2.1343713e-04  2.2896432e-04  3.9879646e-04
 -3.7765325e-04 -7.1319658e-04 -3.0470532e-04 -4.6343089e-04
 -8.0524391e-05  2.3019227e-04  1.8617319e-04  2.3881458e-04
  3.8671242e-03  8.1683457e-04 -1.5662046e-02  3.3151354e-03
  2.3005854e-03  1.3339007e-03  1.5046803e-03 -2.3692497e-03
 -3.2918522e-04 -2.1530262e-03  6.6463125e-04 -9.6662121e-04
  1.4146164e-03  6.5712660e-04 -7.4857916e-04  9.2865666e-04
  5.3518137e-04  2.6770611e-04 -8.2264678e-04  1.1378858e-03
 -4.1985093e-04 -1.2508436e-04 -3.4372479e-04  1.0574819e-05
 -3.7224178e-04 -4.5262283e-04 -1.3519452e-04 -4.2589020e-04
 -3.2762435e-04 -3.4087509e-04 -2.9905917e-04 -6.3930725e-04
  2.6412957e-04 -1.3914955e-03 -8.7010851e-03  8.4890751e-04
  4.4906314e-04  1.6521772e-03  5.5998296e-04 -1.9867711e-03
  6.8933907e-04 -3.2219346e-04 -9.6851808e-04  2.7814580e-04
 -6.3388655e-04  1.5799979e-04 -8.1579165e-05 -3.3066759e-04
  2.2024770e-04 -2.3890373e-04  5.1680068e-04 -3.0008558e-04
 -1.6895747e-04  7.1252161e-04 -3.7084421e-04 -5.8159593e-04
 -3.6062289e-04 -4.3769451e-04  1.8992633e-04 -3.2798715e-05
  3.2961729e-04 -3.2463419e-04  1.7286409e-04  4.6462021e-04]",,320825,audio/signals_f,,
0.0,0.0,,9,,,,,,0.0,320832,geometry/pose_raw,75.36071014404297,0.0
