audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,245208,geometry/pose_raw,-29.87604331970215,-6.753222465515137,0.0
,0.0,0.0,,1,,,,,,90.0,245218,geometry/pose_raw,-29.930458068847656,-5.946150302886963,0.0
,0.0,0.0,,2,,,,,,90.0,245226,geometry/pose_raw,-29.99677085876465,-5.801036834716797,0.0
,0.0,0.0,,3,,,,,,90.0,245235,geometry/pose_raw,-30.04415512084961,-5.025859832763672,0.0
,0.0,0.0,,4,,,,,,90.0,245248,geometry/pose_raw,-30.099538803100586,-4.790956020355225,0.0
1182633261,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",5,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.86811611e-02 -5.48735484e-02 -4.36418923e-03  9.03346948e-03
  2.40830099e-03 -1.31210766e-03  1.20439020e-03 -1.44121377e-03
  9.97752300e-04 -1.71876792e-03 -1.27560156e-03 -6.83603401e-04
 -2.75358092e-03 -7.04138074e-04  2.91006872e-03  1.41681382e-03
  5.69208176e-04 -1.22684240e-03  1.20987988e-03 -2.83591507e-05
  1.41700858e-03 -1.37820235e-03 -3.80172976e-04  5.98046870e-04
 -4.71958105e-04  3.96871357e-04  8.43690650e-04  5.76288730e-04
  3.08105460e-04 -2.59419496e-04  1.75900059e-05  3.91005422e-04
  2.07408741e-02 -3.31061445e-02  1.21146515e-02  7.91418925e-03
 -1.46204547e-03 -1.30226673e-03  1.05216289e-02 -2.19418449e-04
  4.01743775e-04 -8.32856167e-04 -6.45692926e-04 -4.34635236e-04
 -5.33552433e-04 -6.02504006e-04  5.58874512e-04  6.62789447e-04
 -3.86177853e-04  1.55137281e-03 -6.92206202e-04  2.50974699e-05
 -1.13771093e-04  3.41980485e-04 -3.40891056e-05  5.07369463e-04
 -2.43181770e-04  5.39514702e-04 -2.50668934e-04 -6.59282436e-04
 -1.01438440e-04  1.25330780e-03 -1.28074898e-04 -3.42251529e-04
  3.90438959e-02 -7.79383630e-02 -1.20765343e-02 -8.71551316e-03
  8.50973302e-04 -2.61438749e-04  4.21593338e-03 -1.59954536e-04
 -7.45453406e-04  1.22496189e-04  5.95460471e-04  1.00613537e-03
 -3.28760565e-04 -2.55778650e-05 -6.04158791e-04  4.57849703e-04
  5.33200451e-04 -1.82578107e-03 -4.86826058e-04  3.77986900e-04
 -7.85092241e-04 -1.40068878e-04  2.90471304e-04  4.70580184e-04
  2.62196816e-04 -7.64301862e-04 -3.66709806e-04  2.69798737e-04
 -3.38725804e-04  4.04139282e-05  2.34834937e-04  4.49466286e-04
  3.70033458e-02 -5.94266392e-02  9.81926732e-03  2.82837136e-04
 -1.47374964e-03 -1.27575721e-03  1.67354604e-03 -8.61306267e-04
  4.01012396e-04 -6.99809170e-04 -6.33651332e-04  3.72512877e-04
 -1.02354046e-04 -1.53536123e-04  5.95636026e-04  7.88615725e-05
  5.43033355e-04  1.93009852e-04 -4.28711181e-04 -8.17182474e-04
 -3.87487205e-04  1.68442115e-04  3.92677262e-04 -4.00187331e-04
 -4.74938250e-04 -5.79064246e-04  1.11824920e-06 -4.56538517e-04
 -1.35711976e-04  2.93607358e-04  6.17136189e-04 -1.72312284e-04]","[ 1.77192152e+00  5.05582392e-02 -5.21516195e-03 -1.18444376e-02
 -1.68398558e-03 -1.68243691e-03  1.13116798e-03 -9.61806858e-04
  1.97767117e-03 -3.56857490e-05 -1.54898118e-03 -1.35644199e-03
 -9.38916695e-04  5.96846105e-04  1.40261429e-04 -5.59811597e-04
 -6.00310799e-04  9.17562633e-04  3.27409565e-04  7.31162028e-04
 -3.91734007e-04  5.04192547e-04 -8.91168951e-04  9.49438021e-04
 -2.48925528e-04  2.28108780e-04  1.25876686e-05 -1.46621116e-03
 -1.98293652e-04 -1.91389045e-04 -3.57623561e-04  3.18619161e-04
  1.88067985e+00  4.75495383e-02 -1.49773899e-02 -1.52731892e-02
 -1.11350114e-03 -2.71378877e-03 -6.87042193e-04 -6.47932349e-04
  1.46909757e-03 -3.04417103e-04 -2.22346338e-04 -4.56507172e-04
  4.77256748e-04  1.92244668e-04 -8.36304156e-04 -2.20034551e-03
 -5.02925832e-06  1.09016197e-03  1.25437300e-03  2.27171608e-04
 -3.50009650e-04  1.54695430e-04  1.24657192e-04 -1.37601004e-04
  1.74059067e-04 -3.75013857e-04  7.90418853e-05 -9.14385309e-05
 -6.39361562e-04 -5.55933570e-04 -7.96125678e-04 -3.20355350e-04
  1.92488992e+00  6.99626952e-02 -8.81991989e-04 -1.51232667e-02
 -3.02761211e-03  2.31689715e-04 -8.49565200e-04  6.04381421e-05
 -2.08503596e-04  4.44910111e-04 -1.17545621e-03 -8.38551961e-04
 -1.68167113e-04  8.48481723e-05 -1.15505536e-04  5.46560332e-05
  5.75982325e-04  1.05560350e-03  2.84011185e-04  3.14188772e-04
 -9.82620870e-04  3.12773831e-04 -6.34718104e-04 -1.69383638e-04
  6.72657392e-04  4.36982606e-04  5.74340113e-04 -1.01075297e-04
 -4.04059916e-04  1.01754980e-04 -4.51357831e-04  4.49675659e-04
  1.89684868e+00  5.53996265e-02 -7.23097194e-03  1.25915352e-02
 -2.89387628e-03 -8.70649179e-04 -2.41066865e-03 -1.01462286e-03
 -4.18476411e-04 -7.06771243e-06 -3.67637316e-04  1.03822735e-04
  6.98757649e-05  9.37349920e-04 -7.96308959e-05 -3.52711126e-04
  1.56548107e-04  9.12378891e-06  4.33694921e-04  6.25288172e-04
  5.19892783e-04  6.93517737e-04 -2.32019738e-04  9.26440407e-05
  5.66231494e-04 -1.12959482e-04 -4.32661545e-05  1.54062160e-04
 -2.83816713e-04 -3.04686953e-04  2.07024874e-04  5.21662441e-05]",,245254,audio/signals_f,,,
,0.0,0.0,,6,,,,,,90.0,245257,geometry/pose_raw,-30.137845993041992,-4.00599479675293,0.0
,0.0,0.0,,7,,,,,,90.0,245268,geometry/pose_raw,-30.183380126953125,-3.6873691082000732,0.0
,0.0,0.0,,8,,,,,,90.0,245278,geometry/pose_raw,-30.20909881591797,-3.012263774871826,0.0
,0.0,0.0,,9,,,,,,90.0,245287,geometry/pose_raw,-30.24559211730957,-2.9759562015533447,0.0
,0.0,0.0,,10,,,,,,90.0,245298,geometry/pose_raw,-30.2641658782959,-1.8001803159713745,0.0
,0.0,0.0,,11,,,,,,90.0,245309,geometry/pose_raw,-30.288602828979492,-1.9105361700057983,0.0
,0.0,0.0,,12,,,,,,90.0,245318,geometry/pose_raw,-30.297876358032227,-1.1960574388504028,0.0
,0.0,0.0,,13,,,,,,90.0,245326,geometry/pose_raw,-30.312580108642578,-0.7980272173881531,0.0
,0.0,0.0,,14,,,,,,90.0,245341,geometry/pose_raw,-30.314382553100586,-0.41699299216270447,0.0
,0.0,0.0,,15,,,,,,90.0,245354,geometry/pose_raw,-30.31718635559082,-0.00729063106700778,0.0
,0.0,0.0,,16,,,,,,90.0,245362,geometry/pose_raw,-30.318071365356445,-0.17808371782302856,0.0
,0.0,0.0,,17,,,,,,90.0,245372,geometry/pose_raw,-30.318775177001953,-0.04856371879577637,0.0
1182760135,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",18,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[-8.95049702e-03 -2.70510614e-02 -4.60685184e-03 -1.81743584e-03
 -7.30311545e-03  9.20135435e-03 -1.26300333e-03  1.67312071e-04
  2.08913465e-04  1.04867853e-03 -1.81934645e-03  2.89973832e-04
  8.95590230e-04 -7.16698705e-04 -2.68935016e-03 -7.70387880e-04
  4.70891129e-04 -2.00966606e-05  6.31537347e-04 -2.60011584e-05
  3.52287490e-04  6.80774217e-04  3.82836675e-04  8.26253789e-04
  4.00771911e-04 -1.06169283e-03 -7.67003337e-04 -4.82775620e-04
 -4.04750201e-04  4.44632082e-04 -8.19797919e-04  3.34317243e-04
 -6.46116305e-03 -1.11333560e-02  1.33485638e-03 -3.09710088e-03
 -4.25247569e-03  4.64673433e-03  1.26680243e-04  8.35183193e-04
  1.77135371e-04  1.00674829e-03 -5.18268324e-04 -2.43021306e-04
  5.57471067e-04  2.77914398e-04 -1.03132555e-03  6.64968509e-04
  5.99029649e-04  1.59629155e-04  6.02853579e-05 -1.75199355e-04
 -3.85392661e-04  9.58188321e-05 -1.22964935e-04 -3.07933107e-04
  3.68253182e-04 -7.13882037e-06  3.57173034e-04 -1.23681457e-04
 -3.34396464e-04 -2.85353686e-04 -6.10293762e-04  3.07002774e-05
 -1.77442282e-03 -5.07948063e-02 -2.74520833e-03 -1.99430273e-03
  9.18931910e-04  2.44298321e-03 -1.78750150e-03  6.88098255e-04
  1.93438609e-06  7.02793186e-04 -9.23825661e-04 -7.07377621e-05
  4.50211992e-05  1.03944185e-04 -4.92831925e-04  2.71187775e-04
 -5.52118814e-04  3.91163310e-04  1.92465173e-04  2.80220178e-04
 -4.97690402e-04  2.50945333e-04 -1.42077755e-04  6.24039734e-04
 -1.28825966e-04 -7.75513181e-05  8.92987708e-04  6.05840003e-04
  7.03247206e-04 -6.49264082e-04  1.15637988e-04 -7.53175758e-04
 -9.34441760e-03 -3.60457078e-02  3.21173249e-03 -9.68247477e-04
  4.82212607e-04  4.15169820e-03 -9.45024018e-04 -3.83702485e-04
  6.75500254e-04  1.32386002e-03  9.29722300e-05  6.00388972e-04
  1.24389073e-04  6.76676456e-04 -2.97377264e-04 -4.56544425e-04
 -2.72466423e-05 -2.15952052e-04 -3.73852992e-04 -8.57210543e-04
  1.24115602e-03  5.84684458e-05 -2.82618741e-04 -5.00793860e-04
  1.78517919e-04 -1.96658264e-04  9.30416572e-04  4.52527660e-04
  2.38750799e-04  4.39997937e-04 -3.01794760e-04 -2.23833849e-04]","[ 1.7575154e+00  3.3608753e-02 -2.2600543e-02 -6.2630177e-03
 -5.5118566e-03 -1.6315357e-03  1.6023143e-03  2.9236674e-03
  2.4452272e-03  2.5646226e-03  4.5139785e-04  1.3731790e-04
  2.0109429e-03  6.5431889e-04  5.4477918e-05 -6.4039743e-04
 -1.0901252e-03  5.3373005e-05 -3.3497938e-04 -9.6357806e-04
 -2.6499312e-03  1.3148451e-03 -4.1640649e-04 -3.1076692e-04
  1.0270880e-04 -1.7639552e-04 -5.0503720e-04 -1.1356325e-03
  3.8196513e-04 -4.7937981e-05 -2.1619146e-04  4.3606097e-04
  1.8678310e+00  3.3770513e-02 -1.3607927e-02 -7.7828029e-03
 -1.2801097e-03 -2.5526374e-03 -4.7739195e-03  9.2725252e-04
  4.5132614e-04 -8.5749969e-05 -6.8755500e-04 -7.0632814e-06
  3.0802540e-04 -5.6036568e-04  5.9899891e-04  6.3282583e-04
 -8.9760427e-04 -5.2350730e-04  1.1618539e-04 -4.9752934e-04
 -4.6073634e-04  2.6488741e-04 -2.0141016e-04 -4.8702798e-04
 -5.0841761e-04 -3.2044994e-04 -8.8357287e-05 -4.9564743e-04
  7.4170949e-04 -9.6105528e-04 -1.3754309e-04  3.9231949e-05
  1.9286706e+00  5.4453563e-02 -3.1373631e-02 -7.6707304e-03
  4.3507075e-04 -1.7472291e-04 -3.5823034e-03  1.6990076e-03
  1.1790718e-05 -3.2046309e-04  4.5176942e-04  4.0991517e-04
  4.7842407e-04  3.2237213e-04  8.6927228e-04  4.8150515e-04
  4.7534454e-04 -1.1433621e-03  4.8949049e-05 -2.5193559e-04
  9.3017553e-04 -6.0934646e-05 -2.9485940e-04  5.4151297e-04
  9.8363365e-05 -8.0142294e-05  3.4184843e-05  3.7286998e-04
 -1.7550609e-04 -8.3382608e-04 -5.8726175e-04  5.0669583e-04
  1.8809575e+00  4.5595042e-02 -2.1896472e-02 -9.2616794e-04
  8.1053359e-04 -1.7192819e-03 -3.6702687e-03 -1.2908928e-04
 -5.0861854e-04  1.1923672e-03  1.1183589e-03  2.0989290e-05
  5.8226689e-04  4.8406605e-04  6.7305737e-05 -6.3637691e-04
 -1.0321282e-03  3.1085048e-04  3.0727490e-05  4.5751724e-05
  7.4177416e-04 -3.5230222e-04  2.6163258e-04  5.0101493e-04
  7.9561469e-06 -3.5146644e-04  6.9741328e-04  3.3005315e-05
  1.4874303e-04 -8.7167736e-04  2.2601098e-04 -8.2272163e-06]",,245374,audio/signals_f,,,
,0.0,0.0,,19,,,,,,90.0,245379,geometry/pose_raw,-30.31879234313965,0.05661690607666969,0.0
,0.0,0.0,,20,,,,,,90.0,245389,geometry/pose_raw,-30.31922721862793,-0.056559111922979355,0.0
,0.0,0.0,,21,,,,,,90.0,245399,geometry/pose_raw,-30.32001304626465,-0.24881674349308014,0.0
,0.0,0.0,,22,,,,,,90.0,245406,geometry/pose_raw,-30.320114135742188,-0.0007983391988091171,0.0
,0.0,0.0,,23,,,,,,90.0,245420,geometry/pose_raw,-30.318532943725586,0.1740332692861557,0.0
,0.0,0.0,,24,,,,,,90.0,245431,geometry/pose_raw,-30.319541931152344,-0.17173774540424347,0.0
,0.0,0.0,,25,,,,,,90.0,245439,geometry/pose_raw,-30.319372177124023,0.19215808808803558,0.0
,0.0,0.0,,26,,,,,,90.0,245448,geometry/pose_raw,-30.319766998291016,0.15725328028202057,0.0
,0.0,0.0,,27,,,,,,90.0,245459,geometry/pose_raw,-30.31911277770996,0.03294998034834862,0.0
