audio_timestamp,dx,dy,frequencies,index,mic_positions,n_frequencies,n_mics,signals_imag_vect,signals_real_vect,source_direction_deg,timestamp,topic,yaw_deg,yaw_rate_deg,z
,0.0,0.0,,0,,,,,,90.0,504465,geometry/pose_raw,-82.59744262695312,-0.10687579959630966,0.0
,0.0,0.0,,1,,,,,,90.0,504478,geometry/pose_raw,-82.5967025756836,0.06987004727125168,0.0
,0.0,0.0,,2,,,,,,90.0,504485,geometry/pose_raw,-82.59600067138672,0.1917257457971573,0.0
,0.0,0.0,,3,,,,,,90.0,504497,geometry/pose_raw,-82.59553527832031,0.202027827501297,0.0
552355051,,,"[  93  234  359  500  625  765  906 1031 1171 1296 1437 1578 1703 1843
 1968 2109 2250 2375 2515 2640 2781 2906 3046 3187 3312 3453 3578 3718
 3859 3984 4125 4250]",4,[-0.054 -0.054  0.054 -0.054 -0.054  0.054  0.054  0.054],32,4,"[ 1.11876931e-02  5.41272108e-04 -6.88994909e-03 -1.11285318e-03
 -7.85203557e-03 -1.43037614e-04  1.30217662e-03 -1.02084581e-04
 -7.77761452e-04 -5.27200289e-03 -9.62507445e-04  6.45247754e-04
 -1.07310410e-03  3.53747047e-04  8.83445551e-04  1.90906040e-03
 -1.15977682e-03 -2.50565383e-04  1.96913350e-03  1.91095038e-04
  1.95565895e-04  2.68630625e-04 -7.47583574e-04  6.78806740e-04
 -1.61488104e-04 -3.66124965e-04 -7.92798761e-04  2.32642109e-04
  1.12231784e-04  7.03795755e-04 -5.33684972e-04 -4.91845945e-04
  1.25229973e-02 -1.71758083e-03 -4.96182684e-03  1.12915863e-04
 -4.59683500e-03 -5.39307017e-04  1.86864648e-03  1.05524645e-03
 -6.04597735e-04 -1.58161635e-03 -5.18731395e-05 -2.63256748e-04
  3.69342946e-04  5.54986764e-04  1.97751739e-04  7.50977924e-05
 -5.03413758e-05  3.27637070e-04  6.61185652e-04 -3.39483726e-04
 -1.69275969e-04  9.28935478e-05  4.86170757e-04  4.69383318e-04
 -7.97634202e-05  5.98805855e-05 -3.54664837e-04  3.89233261e-04
  8.10952115e-05 -1.21484441e-03 -2.22895469e-04 -1.88946782e-04
  1.43333711e-02 -1.02167483e-03 -5.05342940e-03 -6.05302048e-04
 -1.19411119e-03 -8.54571845e-05  9.75605042e-04 -9.90332803e-04
  8.26953736e-04 -1.80463598e-04  7.65576318e-04 -3.06557631e-04
 -2.68756412e-04 -5.30381658e-05 -6.46381057e-04  6.23934437e-04
  8.16575659e-04  7.98838737e-04 -6.92933507e-04  3.97153053e-04
  4.26989165e-04 -9.37294244e-05 -8.59226420e-05 -4.08106716e-04
 -6.79956051e-04  1.25100574e-04  2.02636002e-04 -2.57632491e-04
 -2.75899889e-04 -6.62659440e-05  7.63911376e-05 -1.20545505e-03
  1.50475055e-02 -8.09591729e-04 -3.33704241e-03 -9.96009912e-04
 -2.52493913e-03  5.39971865e-04  1.40512513e-03  2.12454383e-04
 -5.26281481e-04  5.75382262e-04 -7.06767954e-04  5.28436038e-04
 -1.08329160e-03  5.87328919e-04  5.40625842e-05  4.55656118e-06
 -3.69340240e-04  1.63776160e-04 -2.94547033e-04  7.14501715e-04
  1.04151826e-04  1.92374107e-04 -2.97392311e-04 -6.42479514e-04
  1.55211936e-04 -7.27509498e-04  1.08282540e-04  1.23752878e-04
 -3.36670550e-04 -5.72039513e-04 -3.11457756e-04 -2.67190306e-04]","[ 1.7425005e+00  1.8559989e-03 -2.1157406e-02 -1.7534273e-03
 -6.3808253e-03 -5.2815066e-03  6.4417836e-05 -2.0433450e-03
  1.3245082e-03  2.4291826e-04 -2.9217019e-03 -7.6933444e-05
 -2.7457500e-04  1.0733576e-03 -2.0708775e-04 -8.1208057e-04
 -1.0603884e-03  4.2015250e-05 -1.2030993e-03 -6.2051858e-04
 -4.1651493e-04 -2.7330953e-04 -8.5240911e-04  6.7388173e-04
 -4.4923477e-04 -4.6374192e-04  2.2982767e-04 -2.9715378e-04
  7.1414682e-04 -9.9872865e-05 -5.1241979e-05  6.8004336e-04
  1.8548728e+00  4.9969014e-03 -1.8583354e-02 -4.0147724e-03
 -2.0291379e-03 -3.6042107e-03  3.3727652e-04 -6.8726734e-04
 -2.5725007e-05  4.4340568e-04 -6.9979782e-04 -3.8314131e-04
  2.9278701e-04  2.9913749e-04 -4.9556181e-04  2.3814387e-04
 -3.8229726e-04  1.3432595e-04  4.6599624e-04 -5.1165254e-05
  1.8754830e-04 -7.7130174e-04  5.5307668e-05  7.1689079e-04
  2.6398888e-04 -2.9778335e-04  6.3363893e-04 -5.1081728e-04
 -1.8532851e-04  4.2516965e-04 -3.8521242e-04  1.4969136e-04
  1.9064869e+00  2.0656660e-03 -1.8165147e-02 -6.6787493e-03
 -4.5269690e-04 -2.7405453e-04  2.0844775e-04 -8.5451372e-04
  3.8813613e-04  5.9022300e-04  1.2735033e-04 -2.2472834e-04
  8.5000321e-04  7.9930824e-04 -1.7018567e-04 -1.3753088e-05
 -2.1235018e-04 -3.4707715e-05 -1.5470904e-04  8.8281999e-04
  2.9650974e-04  1.6993962e-04 -3.1466287e-04  2.6355687e-05
  3.1025626e-04  8.0473733e-04 -1.7431958e-04 -2.7573382e-04
 -1.2104887e-05  6.8487797e-04  2.9697351e-04  3.4177399e-04
  1.8757966e+00  3.9529256e-04 -1.8633330e-02 -7.6680509e-03
 -1.6658474e-04 -1.0842640e-03  7.1132800e-04  9.0013340e-04
 -1.4612614e-04 -3.7135690e-04 -6.8238121e-04 -3.7387520e-04
 -6.5513083e-04  5.7822227e-04  1.1533308e-04  1.7062118e-04
 -6.8673347e-05 -7.2411385e-05 -7.3848903e-04  1.1623555e-03
  3.3958763e-04 -6.2627054e-04  3.0062784e-04 -1.0226642e-04
  6.2348612e-05 -2.4493929e-04  2.3489876e-04 -3.1424477e-04
  1.1520667e-03 -1.7226947e-04 -1.5828513e-04  3.5591256e-05]",,504501,audio/signals_f,,,
,0.0,0.0,,5,,,,,,90.0,504508,geometry/pose_raw,-82.59628295898438,0.06521625071763992,0.0
,0.0,0.0,,6,,,,,,90.0,504516,geometry/pose_raw,-82.59685516357422,0.05756370350718498,0.0
,0.0,0.0,,7,,,,,,90.0,504526,geometry/pose_raw,-82.5969467163086,0.012311536818742752,0.0
,0.0,0.0,,8,,,,,,90.0,504539,geometry/pose_raw,-82.59768676757812,-0.22493648529052734,0.0
,0.0,0.0,,9,,,,,,90.0,504546,geometry/pose_raw,-82.59856414794922,0.003980583976954222,0.0
